Iteration,API Requests,Total Time (seconds),Compilation Success,Similarity with Previous,Similarity with Original,Removed Element
1,0,3.2712790966033936,True,0.0,100.0,hardware_abstraction_layer_function_delay
2,0,4.2945311069488525,True,100.0,100.0,hardware_abstraction_layer_function_gpio_write_pin
3,0,4.085588216781616,True,100.0,100.0,ENABLE_GPIOB_CLOCK
4,0,5.012658596038818,True,99.16230366492147,99.16230366492147,set_input_output_mode
5,0,4.38503885269165,True,89.2354124748491,88.51148851148851,ENABLE_GPIOB_CLOCK
6,0,3.859896421432495,True,92.47881355932203,82.6923076923077,ENABLE_GPIOC_CLOCK
7,0,4.817624568939209,True,100.0,82.6923076923077,ENABLE_GPIOA_CLOCK
8,0,4.436883926391602,True,100.0,82.6923076923077,ENABLE_GPIOA_CLOCK
9,0,8.13080644607544,True,100.0,81.9047619047619,hardware_abstraction_layer_function_gpio_read_pin
10,0,6.1280717849731445,True,99.0,81.04761904761905,hardware_abstraction_layer_function_gpio_read_pin
11,0,3.732222557067871,True,100.0,81.82692307692308,ENABLE_GPIOB_CLOCK
12,0,3.4972105026245117,True,100.0,81.82692307692308,ENABLE_GPIOC_CLOCK
13,0,4.033818960189819,True,100.0,81.82692307692308,ENABLE_GPIOC_CLOCK
14,0,4.992892265319824,True,91.1419423692636,74.95412844036697,set_input_output_mode
15,0,4.784236669540405,True,98.31460674157303,74.86238532110092,set_input_output_mode
16,0,3.9372007846832275,True,98.86877828054298,74.13479052823315,ENABLE_GPIOB_CLOCK
17,0,4.278809547424316,True,100.0,73.26732673267327,hardware_abstraction_layer_function_gpio_write_pin
18,0,4.481004953384399,True,94.88888888888889,69.68085106382979,hardware_abstraction_layer_function_gpio_write_pin
19,0,4.295324325561523,True,100.0,70.36705461056401,ENABLE_GPIOC_CLOCK
20,0,7.278644561767578,True,100.0,69.68085106382979,hardware_abstraction_layer_function_gpio_toggle_pin
21,0,5.06945013999939,True,96.29213483146067,67.2945205479452,hardware_abstraction_layer_function_gpio_write_pin
22,0,3.8061439990997314,True,100.0,68.646288209607,ENABLE_GPIOB_CLOCK
23,0,5.503278732299805,True,95.74944071588367,64.51612903225806,hardware_abstraction_layer_function_gpio_read_pin
24,0,3.838336229324341,True,100.0,65.93406593406593,ENABLE_GPIOC_CLOCK
25,0,3.7948496341705322,True,100.0,65.93406593406593,hardware_abstraction_layer_function_delay
26,0,3.8995461463928223,True,100.0,65.93406593406593,hardware_abstraction_layer_function_delay
27,0,5.54682469367981,True,87.8625134264232,57.903097696584595,hardware_abstraction_layer_function_gpio_read_pin
28,0,4.646953344345093,True,93.11512415349887,59.172077922077925,set_input_output_mode
29,0,4.28669810295105,True,100.0,59.172077922077925,ENABLE_GPIOB_CLOCK
